cell_id,point_id,frame,x,y,cut
220830-E6_Out,334,5,249.07797050476074,258.0505656003952,False
220830-E6_Out,334,6,245.8951063156128,256.0781971216202,False
220830-E6_Out,334,7,244.05251812934875,255.78748047351837,False
220830-E6_Out,334,8,242.4386385679245,253.73651206493378,False
220830-E6_Out,334,9,239.52444732189178,252.9029495716095,False
220830-E6_Out,334,10,238.50968825817108,251.15044271945953,False
220830-E6_Out,335,3,340.0,288.0,False
220830-E6_Out,335,4,353.6547574996948,296.85075283050537,False
220830-E6_Out,335,5,357.3720796108246,297.7044060230255,False
220830-E6_Out,335,6,359.490195274353,298.07094687223434,False
220830-E6_Out,335,7,359.88193184137344,299.5625630021095,False
220830-E6_Out,335,8,360.06296138465405,300.8338217139244,False
220830-E6_Out,335,9,359.8726225942373,299.289956510067,False
220830-E6_Out,336,3,361.0,308.0,False
220830-E6_Out,336,4,374.6206283569336,317.0165662765503,False
220830-E6_Out,336,5,377.23439931869507,316.95971270650625,False
220830-E6_Out,336,6,378.2195782661438,316.89904606342316,False
220830-E6_Out,336,7,376.6626374721527,317.15166664123535,False
220830-E6_Out,336,8,376.59886761009693,318.609432220459,False
220830-E6_Out,336,9,374.7737819701433,316.31922030448914,False
220830-E6_Out,337,3,273.0,278.0,False
220830-E6_Out,337,4,257.0742883682251,264.1590213775635,False
220830-E6_Out,337,5,251.79114818572998,263.0798763036728,False
220830-E6_Out,337,6,248.1335470676422,260.61395132541656,False
220830-E6_Out,337,7,245.95042753219604,260.16045355796814,False
220830-E6_Out,338,3,321.0,292.0,False
220830-E6_Out,338,4,339.4096260070801,304.8927803039551,False
220830-E6_Out,338,5,342.438175201416,306.3932491540909,False
220830-E6_Out,338,6,343.7342207431793,306.8262987732887,False
220830-E6_Out,338,7,344.5180859565735,307.03897443413734,False
220830-E6_Out,338,8,343.96761095523834,307.1887698173523,False
220830-E6_Out,338,9,344.35492765903473,306.9669594168663,False
220830-E6_Out,339,4,341.0,225.0,True
220830-E6_Out,340,4,269.0,327.0,True
220830-E7_Out,341,3,355.0,207.0,False
220830-E7_Out,341,4,355.77633464336395,207.24253177642822,False
220830-E7_Out,341,5,355.8139168918133,207.35397853702307,False
220830-E7_Out,341,6,355.82067514956,207.41794376075268,False
220830-E7_Out,341,7,355.47407652437687,207.49427971988916,False
220830-E7_Out,341,8,355.5246252864599,207.57032251358032,False
220830-E7_Out,341,9,355.3657191544771,207.60125086456537,False
220830-E7_Out,341,10,355.3284921050072,207.62556973099709,False
220830-E7_Out,342,3,269.0,149.0,False
220830-E7_Out,342,4,268.45374751091003,148.62047550082207,False
220830-E7_Out,342,5,268.28836980462074,148.66422180086374,False
220830-E7_Out,342,6,268.17444133758545,148.70781184732914,False
220830-E7_Out,342,7,268.19280411303043,148.78075597435236,False
